subject_id,domain,mean_within,mean_between,n_within,n_between,switch_cost,spam_dispersion
62335,animals,7949.9,6346.76,2,5,-1603.1399999999994,0.26952708413123194
62335,body-parts,6605.5,7476.719999999999,2,5,871.2199999999993,0.1279883467372601
62335,foods,7719.26,10794.8,5,1,3075.539999999999,0.2773255592131639
68981,animals,4315.5,4218.7,5,5,-96.80000000000018,0.2998380885911172
68981,body-parts,4274.183333333333,3848.45,6,2,-425.7333333333336,0.2951909117466871
68981,foods,5722.975,5372.35,4,2,-350.625,0.31666531612202103
71977,body-parts,11198.2,11148.6,1,2,-49.600000000000364,0.2871749656494686
72898,animals,5218.133333333333,4083.3999999999996,3,6,-1134.7333333333336,0.2830015985839111
72898,body-parts,3762.566666666667,4278.7,3,4,516.1333333333328,0.18500442862893235
72898,foods,3379.15,6781.975,2,4,3402.8250000000003,0.26435118271820945
73233,animals,2812.8111111111116,4285.783333333334,9,6,1472.9722222222222,0.2216812178904605
73233,body-parts,3043.476923076923,3380.7,13,2,337.22307692307686,0.25342675167451656
73233,foods,3908.9750000000004,1631.4,8,1,-2277.5750000000003,0.2402025687372325
74323,animals,5624.75,5136.18,4,5,-488.5699999999997,0.2466863192078024
74323,body-parts,6040.633333333334,5692.875,3,4,-347.7583333333341,0.2750037850951611
74323,foods,5379.425,7195.35,4,2,1815.9250000000002,0.2583822316774291
76112,foods,3123.866666666667,3023.866666666667,3,3,-100.0,0.5731837582839877
78839,animals,3935.4,5805.914285714285,2,7,1870.514285714285,0.3185106184840073
78839,body-parts,6481.35,5611.757142857142,2,7,-869.5928571428585,0.3012338373397874
78839,foods,4851.660000000001,4254.724999999999,5,4,-596.9350000000013,0.25071270959519437
81788,foods,4232.083333333333,2325.0666666666666,6,3,-1907.0166666666664,0.5470350810485833
81851,animals,7935.9,9454.25,1,4,1518.3500000000004,0.28593580746022285
81851,body-parts,8848.166666666666,9287.900000000001,3,2,439.7333333333354,0.15365911046525885
81851,foods,11863.833333333334,9608.2,3,1,-2255.633333333333,0.167310958177069
83682,animals,5808.883333333334,6641.75,6,2,832.8666666666659,0.49525851799130904
83682,colours,4725.033333333334,6726.960000000001,3,5,2001.9266666666672,0.5367320243045198
83682,foods,3744.8833333333337,4302.25,6,2,557.3666666666663,0.46927098769252695
86781,animals,4088.1333333333337,14367.033333333335,3,3,10278.900000000001,0.1120055082404704
86781,body-parts,4931.633333333333,6212.066666666667,3,6,1280.4333333333334,0.13097677317888753
86781,foods,2007.8,8981.079999999998,1,5,6973.279999999998,0.12732969439578667
92821,animals,3222.55,7028.45,8,4,3805.8999999999996,0.1509776936764607
92821,colours,4535.400000000001,3004.4636363636364,3,11,-1530.9363636363641,0.1802762076265426
94502,animals,6801.399999999999,6638.7,3,2,-162.6999999999989,0.3362977470903274
94502,body-parts,5915.2,5234.1,3,1,-681.0999999999995,0.24789031737433817
95712,foods,8350.0,8027.0,4,2,-323.0,0.17219985478429464
